timestamp,acc_x,acc_y,acc_z
11840,10.24958,-0.248997,0.258574
11860,10.23761,-0.179565,0.25618
11880,10.23282,-0.23942,0.244209
11900,10.24479,-0.237026,0.268151
11920,10.22564,-0.213084,0.246603
11940,10.23761,-0.172383,0.277727
11960,10.22324,-0.246603,0.227449
11980,10.23521,-0.1652,0.263362
12000,10.23521,-0.234632,0.248997
12020,10.21845,-0.222661,0.258574
12040,10.21845,-0.21069,0.282516
12060,10.20169,-0.208296,0.25618
12080,10.22564,-0.208296,0.258574
12100,10.22803,-0.213084,0.248997
12120,10.21845,-0.203507,0.229843
12140,10.22324,-0.213084,0.222661
12160,10.26394,-0.272939,0.21069
12180,10.23761,-0.167594,0.232238
12200,10.23521,-0.222661,0.260968
12220,10.23042,-0.222661,0.253785
12240,10.25437,-0.227449,0.227449
12260,10.20888,-0.1652,0.260968
12280,10.21366,-0.229843,0.220267
12300,10.22085,-0.208296,0.275333
12320,10.20169,-0.205901,0.237026
12340,10.23521,-0.189142,0.260968
12360,10.22564,-0.248997,0.248997
12380,10.22564,-0.19393,0.280122
12400,10.22085,-0.213084,0.208296
12420,10.22564,-0.217872,0.287304
12440,10.22564,-0.21069,0.25618
12460,10.22564,-0.19393,0.253785
12480,10.23282,-0.215478,0.260968
12500,10.24239,-0.225055,0.275333
12520,10.22803,-0.169988,0.25618
12540,10.25437,-0.23942,0.237026
12560,10.22564,-0.205901,0.268151
12580,10.22324,-0.215478,0.220267
12600,10.21845,-0.21069,0.248997
12620,10.23042,-0.263362,0.241814
12640,10.23521,-0.172383,0.28491
12660,10.24239,-0.227449,0.229843
12680,10.23761,-0.205901,0.277727
12700,10.22324,-0.227449,0.217872
12720,10.21606,-0.169988,0.253785
12740,10.21845,-0.258574,0.234632
12760,10.23042,-0.19393,0.277727
12780,10.20888,-0.203507,0.215478
12800,10.22085,-0.215478,0.275333
12820,10.23761,-0.23942,0.241814
12840,10.21845,-0.208296,0.258574
12860,10.21127,-0.246603,0.227449
12880,10.24,-0.208296,0.25618
12900,10.21366,-0.198719,0.253785
12920,10.23761,-0.222661,0.234632
12940,10.24239,-0.222661,0.280122
12960,10.25676,-0.220267,0.225055
12980,10.21845,-0.196325,0.260968
13000,10.22564,-0.25618,0.229843
13020,10.22803,-0.225055,0.23942
13040,10.22564,-0.21069,0.289698
13060,10.22324,-0.227449,0.208296
13080,10.21606,-0.177171,0.265756
13100,10.24,-0.248997,0.227449
13120,10.24479,-0.205901,0.294487
13140,10.24718,-0.198719,0.225055
13160,10.21366,-0.186748,0.241814
13180,10.21366,-0.244209,0.225055
13200,10.23042,-0.201113,0.265756
13220,10.21366,-0.196325,0.270545
13240,10.23282,-0.222661,0.272939
13260,10.22803,-0.21069,0.244209
13280,10.21606,-0.203507,0.220267
13300,10.22324,-0.217872,0.248997
13320,10.24,-0.258574,0.244209
13340,10.23282,-0.1652,0.263362
13360,10.22085,-0.253785,0.246603
13380,10.24958,-0.232238,0.282516
13400,10.24,-0.253785,0.225055
13420,10.20169,-0.177171,0.25618
13440,10.21845,-0.244209,0.244209
13460,10.25437,-0.203507,0.25618
13480,10.22564,-0.217872,0.217872
13500,10.23761,-0.184354,0.289698
13520,10.25437,-0.246603,0.234632
13540,10.24,-0.201113,0.277727
13560,10.23282,-0.229843,0.237026
13580,10.25676,-0.222661,0.265756
13600,10.21127,-0.215478,0.246603
13620,10.21366,-0.1652,0.292093
13640,10.21606,-0.237026,0.25618
13660,10.24958,-0.227449,0.263362
13680,10.21366,-0.177171,0.244209
13700,10.21606,-0.220267,0.241814
13720,10.24718,-0.237026,0.268151
13740,10.24479,-0.234632,0.258574
13760,10.22564,-0.181959,0.260968
13780,10.26155,-0.258574,0.191536
13800,10.23282,-0.21069,0.301669
13820,10.21845,-0.225055,0.244209
13840,10.20169,-0.177171,0.265756
13860,10.22564,-0.270545,0.215478
13880,10.23042,-0.198719,0.260968
13900,10.22803,-0.227449,0.225055
13920,10.23521,-0.203507,0.277727
13940,10.23521,-0.246603,0.220267
13960,10.22803,-0.184354,0.289698
13980,10.21606,-0.227449,0.237026
14000,10.24,-0.217872,0.28491
14020,10.22085,-0.234632,0.222661
14040,10.21845,-0.203507,0.275333
14060,10.23282,-0.232238,0.244209
14080,10.22324,-0.186748,0.258574
14100,10.20409,-0.198719,0.220267
14120,10.23042,-0.23942,0.23942
14140,10.22085,-0.222661,0.234632
14160,10.23521,-0.203507,0.232238
14180,10.22324,-0.198719,0.222661
14200,10.25197,-0.248997,0.229843
14220,10.23521,-0.19393,0.244209
14240,10.23761,-0.229843,0.241814
14260,10.24958,-0.215478,0.287304
14280,10.24479,-0.258574,0.229843
14300,10.20888,-0.177171,0.270545
14320,10.22324,-0.246603,0.237026
14340,10.24479,-0.205901,0.301669
14360,10.21845,-0.205901,0.241814
14380,10.23282,-0.160412,0.272939
14400,10.23042,-0.263362,0.220267
14420,10.24479,-0.186748,0.275333
14440,10.21127,-0.215478,0.234632
14460,10.22324,-0.21069,0.277727
14480,10.22085,-0.244209,0.220267
14500,10.1993,-0.174777,0.248997
14520,10.22324,-0.213084,0.232238
14540,10.25676,-0.234632,0.215478
14560,10.21127,-0.21069,0.21069
14580,10.21127,-0.215478,0.227449
14600,10.22324,-0.21069,0.258574
14620,10.24958,-0.251391,0.232238
14640,10.21606,-0.196325,0.263362
14660,10.23521,-0.246603,0.263362
14680,10.23521,-0.23942,0.28491
14700,10.25437,-0.220267,0.234632
